EmployeeID,FirstName,LastName,Gender,Age,Department,DistanceFromHome (KM),State,Ethnicity,EducationField,JobRole,MaritalStatus,Salary,OverTime,HireDate,Attrition,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,EducationLevel
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Neutral,Neutral,Dissatisfied,3,0,Very Good,Average,Average,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Satisfied,Satisfied,Very Satisfied,3,1,Fair,Average,Below Average,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Very Satisfied,Very Satisfied,Satisfied,3,0,Very Good,High,High,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Very Dissatisfied,Neutral,Dissatisfied,3,1,Good,High,Above Average,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Neutral,Satisfied,Dissatisfied,1,0,Good,Above Average,Average,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Neutral,Dissatisfied,Very Satisfied,1,0,Good,High,Above Average,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Satisfied,Very Satisfied,Satisfied,1,0,Very Good,Average,Average,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Satisfied,Dissatisfied,Satisfied,1,0,Fair,High,Above Average,Doctorate
3012-1A41,Leonelle,Simco,Female,30,Sales,27,IL,White,Marketing,Sales Executive,Divorced,102059,No,2012-01-03,No,10,9,7,Very Satisfied,Very Satisfied,Dissatisfied,2,1,Excellent,Above Average,Above Average,Doctorate
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Neutral,Neutral,Dissatisfied,2,0,Excellent,Above Average,Above Average,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Neutral,Very Satisfied,Very Satisfied,2,0,Fair,Above Average,Average,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Very Satisfied,Dissatisfied,Very Satisfied,2,0,Fair,High,High,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Satisfied,Neutral,Satisfied,3,2,Good,Above Average,Average,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Very Satisfied,Very Satisfied,Satisfied,3,2,Good,Above Average,Above Average,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Neutral,Dissatisfied,Dissatisfied,2,0,Fair,Average,Average,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Very Satisfied,Neutral,Satisfied,2,1,Very Good,Above Average,Above Average,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Neutral,Satisfied,Satisfied,3,0,Fair,High,Above Average,Masters 
CBCB-9C9D,Leonerd,Aland,Male,38,Sales,23,CA,White,Marketing,Sales Executive,Single,157718,Yes,2012-01-04,No,10,10,0,Satisfied,Neutral,Satisfied,3,2,Very Good,High,High,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Neutral,Neutral,Dissatisfied,1,0,Fair,Average,Below Average,Masters 
95D7-1CE9,Ahmed,Sykes,Male,43,Human Resources,29,CA,Asian or Asian American,Marketing ,HR Business Partner,Married,309964,No,2012-01-04,No,10,10,8,Satisfied,Satisfied,Neutral,2,2,Excellent,Above Average,Above Average,Masters 
